app_name,review_text,rating,sentiment_label
Amazon,"Not for tablets anymore?!! I've been using this app for years on my tablets, and it started glitching and locking up frequently, so I thought I'll uninstall it and reinstall it. I can't reinstall it. Google play says it's not compatible with tablets now and offers no other app in its place. why??! Now I'm stuck with the online website shopping experience, which is terrible! Customer service was a dead end. This will deter me from shopping on Amazon and may force me to cancel prime.",1,Negative
Amazon,"Can't access our orders for tracking anymore since the recent change. I do a search for my orders and it shows me shipping suggestions. I used to use the app primarily for keeping track of my orders because the web site makes it difficult to tell what's arriving on a particular day and the app used to sort them by the day expected. This was easy, user friendly, and wonderful. Now it's gone. I have no reason to use the app anymore. I can't easily track any packages anymore.",1,Negative
Amazon,"Terrible search algorithm: The app is almost unusable. I have tried and tried to use this site but as the years pass, the search becomes less and less capable. Even 15 years ago I could still use the filters as such. When I searched for an item today, the display photos were massive. Only one item is shown on the screen now. Not only can I not find the correct items, the wrong items take up the whole screen. My eyesight has not changed, nor has my ability to spell or know what I want to buy.",1,Negative
Amazon,"The Amazon app can be frustrating, especially during Prime Day and Black Friday, where pricing feels deceptive. Items are often marked up before being “discounted” making it seem like you’re getting a deal when you’re not. Cancelling Prime if you don't want it anymore is a hassle and customer support can be hit or miss. If you have an issue with an order sometimes you get the runaround or are told you’ve been refunded, only to find out you haven't forcing you to go through the process again.",1,Negative
Amazon,"Amazon has refused to address problems I first brought up years ago, and now they seem to WANT to be impossible to use. Between facing a disabled ""continue"" button at the payment options screen when paying with gift cards, not being able to buy Amazon gift cards anymore, having Visa cards repeatedly declined without explanation, and useless customer service, I've had my last straw. They've lost me as a customer and I'm deleting my account. This slow, janky app with no offline isn't any better.",1,Negative
Amazon,"This new update is a disaster. Nothing in my wishlist is in order, and there's no way to filter it for most recent items. Search brings up items totally unrelated to the keywords. Not to mention that nearly all orders that have been transferred to USPS disappear and get lost. I live a few miles from a distribution center. There's no reason to transfer them to the post office. Been a member for over 10 years. Disappointed with how things have turned out these last few years.",1,Negative
Amazon,"You have to click through like 5 different pages before you have the option to even speak to customer service. Nothing qualifies for return/replacement or refund. What's worse, Amazon moderates all the reviews, so you can't even warn others about anything. UPDATE: they've incorporated that stupid AI assistant bs, which will pop up with ""suggested questions"" every time you click on an item. And 80% of the time, it refuses to go away, making a part of your screen unusable. Utterly infuriating.",1,Negative
Amazon,"Until today, I have never had any problems with the app. However, today I can't choose options on an item. For example I select an item that can come in different colors. While the button is there showing the current color and a down arrow to select another, tapping it does nothing. I had no problems yesterday, and it just started today. I checked for updates, and I updated. I cleared cache. I force stopped the app. Nothing has corrected the issue. If it corrects itself, I will edit this review.",1,Negative
Amazon,Getting really sick and tired of paying for same day shipping or expecting an order by a certain date and then I'm told AFTER the order is already late that it will be late. Amazon is NOT reliable. I'm about to cancel my subscription and go back to in store shopping. Ridiculous. Please keep taking my money and not holding up your end. Infuriating.,1,Negative
Amazon,"I used to be able to print a label, and drop the item in the USPS or UPS box. Both of which are on my way to work or home. Now to ""reduce"" the trucks on the road I have to drive 30 minutes to make a return. Great way to shift the expense to the consumer and put more cars on the road. BTW, use your browser, without signing into your browser to find the best deal. I needed the piano accompaniment to a book. in the app it only showed me the $16.99 book with no other options, $10.99 online.",1,Negative
Amazon,"For some reason lately, Amazon has been charging twice the amount for shipping and receiving also. I have always had the app on my tablet and my phone's but all of a sudden, I no longer have access on my tablet to the app to do shopping. At this point I think I might just delete it all the way together and just go back to shopping in the stores.It's sad, but it's true because I'm not gonna pay twice the amount for shipping and receiving it's crazy, yall have lost yall mind! DELETE",1,Negative
Amazon,"I haven't gotten a decent search, product list, customer service especially for getting any information changed on your profile, shipping time that makes Prime worth it, nor a search engine that can understand key words, let alone bloody sentences. Stop using AI, it is brand new tech, which means it is super glitchy and literally the worst version of it that will ever be. Have you seen the worst version of real intelligence? 🙄",1,Negative
Amazon,"Way, way, way, too many ads for products between the pictures/title and the product description. It's just wasted, since I never look at them. I just scroll till I see product description. I very much liked the old version where you could easily read about the product & see reviews, & then if you wanted, you could see similar products. Considering looking for my products elsewhere. Even if I have to pay more it would be worth it. and move the search button and field back together, please.",1,Negative
Amazon,"Amazon offers a generally excellent customer experience, and I appreciate the convenience and range of products available. However, I have ongoing concerns regarding order fulfillment at the facility level. It seems that every few orders, there is an issue that requires me to contact customer service due to incorrect processing, delays, or errors in shipment. This not only creates inconvenience but also undermines the reliability I expect as a Prime member.",1,Negative
Amazon,"UX experience has progressively degraded over time. Now, all search results are sponsored ads or the ""best seller""/""overall picks"", which is always one of the same sponsored brands. This is especially painful when shopping for niche items, where the sponsored ad doesn't match what I am looking for. I get Amazon is trying to squeeze profits from both ends. But it has gotten to the point where you can't even use the app to shop anymore. Unless you want one of the 3 sponsored brands.",1,Negative
Amazon,"I would love to post a picture with this; For the last few months, I've regularly searched a product, found it and clicked on it, so I could order it. Without fail, the app fails. I get the error message, with the photo of a dog, reading, ""Uh-Oh! something went wrong on our end!"" It has happened with tools, vitamins, electronics, clothing, etc., so it wasn't just an irregularity related to one item. The app is up-to-date, so at this point, I think I'm wasting money, and will cancel my prime.",1,Negative
Amazon,"Support is absolutely terrible. Tech comes in, asks questions, it isn't a basic issue, they leave the chat and then you get another tech asking to explain again. Their phone support is even worse. They cancel orders ""because it is suspicious"" then approve it, and then they cancel it again. Techs will tell you they're working on it and stay connected, 2 minutes later. They'll leave and you start over. Searching orders is trash now. Amazon has gone down his so badly. Prime is an absolute joke.",1,Negative
Amazon,"My card is double charged for every order, and orders that do not arrive on the promised date even though a quick delivery fee is charged. Amazon is no longer as reliable as it used to be, think twice before shopping. I don't plan to shop on Amazon anymore for a long time. Edit: 04/04/26 I've just deleted my account because they've charged me a return fee. I am done with Amazon.",1,Negative
Amazon,I just came to the conclusion this platform is not worth using . wrong numbers. flagged payments. cancel orders on and on. nothing but a waste of my time. just tryin to orders stuff. I'm not goin to beg anyone to buy something from them. I think Amazon has moved from selling to drama on every level. soo I no longer have a Amazon app and I will never use it again. plenty ppl out there be glad to sell me something and not make me try move threw a app that makes sur| u can't contact anyone.,1,Negative
Amazon,"The latest update has rendered the app unusable. I can't click on an item, I can't add it to my cart, etc. I have to restart my phone several times a day to be able to use the app for 5 or 10 minutes at a time. I've tried clearing my cache, uninstalling, etc. And it isn't just me, it's also happening to my husband's app too.",1,Negative
Amazon,I write an honest review and Amazon Marks it out. I wasn't nasty or say anything that wasn't true. My package was 2 weeks late. they wouldnt let me cancel the order. the item showed up damaged and they made me jump through hoops to exchange it. I dont think ill be wasting my time or money on Amazon anymore. and ill make sure to share my experiences. Amazon used to be great. not anymore.,1,Negative
Amazon,"I'm moving into a new house in a new country and ordered the critical things we needed for our first day. you charged me. I confirmed the charge. then you arbitrarily canceled the entire order leaving me with nothing. you could've texted securely to confirm I placed the order, emailed me, but no...you erased the address and payment method and canceled it all. now some items are reinstated for delivery with no tracking mechanism and the things we needed most still cancelled no $ back yet. awful",1,Negative
Amazon,WHERE'S THE BUY IT NOW? Add to delivery sucks. so many times I go to add an item to my cart for a later order and accidentally hit add to delivery and have to go to orders and cancel And trying to get past AI to chat with an associate is almost impossible. ai chat can't handle some questions or problems. there needs to be an option! and why make it impossible to cancel a return? used to be an option. edit return does nothing,1,Negative
Amazon,"It was hard enough just creating an Amazon account, the app wouldn’t even work and I had to switch to a browser just to sign up. Then when I finally ordered a shirt, Amazon said it was coming Sunday, only to suddenly demand “payment revision” even though I had enough money. The order never went through and I had to cancel it. This whole experience was confusing, stressful, and honestly not worth it.",1,Negative
Amazon,"Works great on my phone, but not for my tablet anymore. The Amazon website is very hard to use, especially if one is accustomed to using the app. Navigating is frustrating, & quite difficult because everything is smaller, which makes things hard to see. And zooming doesn't help, because then you have to move around on the screen, instead of being able to see it all at once. SOMEBODY NEEDS TO FIX IT!",1,Negative
Amazon,"Every other order seems to be delayed. It's especially frustrating when I specifically order for next day. There have been several times I've placed an order and then a couple of days later Amazon cancelled my order saying it's no longer available. How can I place an order, pay for it, then it's not available? It seems as if Amazon has gone downhill over the past 2 years. I'm seriously thinking of cancelling my subscription. I hear Walmart+ is just as good. I'm thinking about doing eBay again.",1,Negative
Amazon,"The app and the website are useless. Actually unusable. I search for something and it gives me multiple results, except when I click on a result, it says something went wrong. I click on the next one, something went wrong. 5th or 6th result finally shows me something but when I try to select an option underneath for type or style, a blank menu pops up and never reveals anything no mater how much you refresh. Literally useless. I wish I could cancel my prime again.",1,Negative
